GEO_ID,NAME,S2801_C01_001E,S2801_C01_001M,S2801_C01_002E,S2801_C01_002M,S2801_C01_003E,S2801_C01_003M,S2801_C01_004E,S2801_C01_004M,S2801_C01_005E,S2801_C01_005M,S2801_C01_006E,S2801_C01_006M,S2801_C01_007E,S2801_C01_007M,S2801_C01_008E,S2801_C01_008M,S2801_C01_009E,S2801_C01_009M,S2801_C01_010E,S2801_C01_010M,S2801_C01_011E,S2801_C01_011M,S2801_C01_012E,S2801_C01_012M,S2801_C01_013E,S2801_C01_013M,S2801_C01_014E,S2801_C01_014M,S2801_C01_015E,S2801_C01_015M,S2801_C01_016E,S2801_C01_016M,S2801_C01_017E,S2801_C01_017M,S2801_C01_018E,S2801_C01_018M,S2801_C01_019E,S2801_C01_019M,S2801_C01_020E,S2801_C01_020M,S2801_C01_021E,S2801_C01_021M,S2801_C01_022E,S2801_C01_022M,S2801_C01_023E,S2801_C01_023M,S2801_C01_024E,S2801_C01_024M,S2801_C01_025E,S2801_C01_025M,S2801_C01_026E,S2801_C01_026M,S2801_C01_027E,S2801_C01_027M,S2801_C01_028E,S2801_C01_028M,S2801_C01_029E,S2801_C01_029M,S2801_C01_030E,S2801_C01_030M,S2801_C01_031E,S2801_C01_031M,S2801_C02_001E,S2801_C02_001M,S2801_C02_002E,S2801_C02_002M,S2801_C02_003E,S2801_C02_003M,S2801_C02_004E,S2801_C02_004M,S2801_C02_005E,S2801_C02_005M,S2801_C02_006E,S2801_C02_006M,S2801_C02_007E,S2801_C02_007M,S2801_C02_008E,S2801_C02_008M,S2801_C02_009E,S2801_C02_009M,S2801_C02_010E,S2801_C02_010M,S2801_C02_011E,S2801_C02_011M,S2801_C02_012E,S2801_C02_012M,S2801_C02_013E,S2801_C02_013M,S2801_C02_014E,S2801_C02_014M,S2801_C02_015E,S2801_C02_015M,S2801_C02_016E,S2801_C02_016M,S2801_C02_017E,S2801_C02_017M,S2801_C02_018E,S2801_C02_018M,S2801_C02_019E,S2801_C02_019M,S2801_C02_020E,S2801_C02_020M,S2801_C02_021E,S2801_C02_021M,S2801_C02_022E,S2801_C02_022M,S2801_C02_023E,S2801_C02_023M,S2801_C02_024E,S2801_C02_024M,S2801_C02_025E,S2801_C02_025M,S2801_C02_026E,S2801_C02_026M,S2801_C02_027E,S2801_C02_027M,S2801_C02_028E,S2801_C02_028M,S2801_C02_029E,S2801_C02_029M,S2801_C02_030E,S2801_C02_030M,S2801_C02_031E,S2801_C02_031M
1400000US31003979700,"Census Tract 9797, Antelope County, Nebraska",725,54,596,59,497,61,46,23,502,55,41,21,387,51,23,15,35,20,0,10,129,35,557,59,12,9,545,60,418,57,59,28,433,55,62,30,168,37,154,35,3,5,45,26,106,29,344,47,9,8,281,49,54,29,227,36,0,10,219,36,8,8,(X),(X),82.2,4.9,68.6,6.5,6.3,3.2,69.2,4.8,5.7,2.9,53.4,6,3.2,2.1,4.8,2.9,0,3.1,17.8,4.9,76.8,5.1,1.7,1.3,75.2,5.4,57.7,5.8,8.1,3.8,59.7,6.3,8.6,4,23.2,5.1,(X),(X),1.9,3.4,29.2,14.1,68.8,14.6,(X),(X),2.6,2.2,81.7,8.7,15.7,8,(X),(X),0,9.4,96.5,3.4,3.5,3.4
1400000US31003979800,"Census Tract 9798, Antelope County, Nebraska",1166,66,966,68,780,65,114,32,784,71,59,24,634,70,38,26,22,10,0,10,200,41,876,67,2,3,874,67,669,66,165,45,525,61,160,50,290,45,205,44,0,10,95,27,110,35,626,71,2,3,489,67,135,36,335,56,0,10,290,51,45,25,(X),(X),82.8,3.4,66.9,4.4,9.8,2.8,67.2,4.7,5.1,2,54.4,4.8,3.3,2.2,1.9,0.9,0,1.9,17.2,3.4,75.1,3.7,0.2,0.3,75,3.7,57.4,4.7,14.2,3.8,45,4.6,13.7,4.1,24.9,3.7,(X),(X),0,10.4,46.3,10.8,53.7,10.8,(X),(X),0.3,0.5,78.1,5.5,21.6,5.4,(X),(X),0,6.5,86.6,6.8,13.4,6.8
1400000US31005958300,"Census Tract 9583, Arthur County, Nebraska",197,28,168,25,143,21,26,10,123,20,11,7,101,24,6,4,10,9,0,10,29,13,148,21,2,2,146,22,116,22,10,8,129,22,10,4,49,17,45,16,1,2,24,10,20,12,113,21,1,2,87,21,25,9,39,15,0,10,35,11,4,5,(X),(X),85.3,6,72.6,7,13.2,4.9,62.4,7.7,5.6,3.7,51.3,8.5,3,2.1,5.1,4.3,0,10.8,14.7,6,75.1,7.2,1,1.1,74.1,7.3,58.9,7.9,5.1,4.1,65.5,7,5.1,2.3,24.9,7.2,(X),(X),2.2,3.9,53.3,18.4,44.4,18.7,(X),(X),0.9,1.5,77,7.7,22.1,7.6,(X),(X),0,39.5,89.7,11.4,10.3,11.4
1400000US31007954000,"Census Tract 9540, Banner County, Nebraska",283,33,248,31,227,31,56,25,184,31,13,9,147,28,0,10,1,2,0,10,35,16,226,31,6,5,220,33,165,32,68,26,63,18,88,26,57,21,59,29,0,10,43,27,16,16,148,30,2,3,117,28,29,14,76,18,4,4,60,17,12,10,(X),(X),87.6,5.5,80.2,6.5,19.8,8.2,65,9.3,4.6,3.3,51.9,9,0,7.6,0.4,0.8,0,7.6,12.4,5.5,79.9,6.7,2.1,2.1,77.7,7.4,58.3,9.7,24,8.4,22.3,6.6,31.1,8.3,20.1,6.7,(X),(X),0,30.7,72.9,25.8,27.1,25.8,(X),(X),1.4,2.4,79.1,8.8,19.6,8.4,(X),(X),5.3,5.8,78.9,12.8,15.8,12.2
1400000US31009972400,"Census Tract 9724, Blaine County, Nebraska",213,25,195,24,175,23,43,15,147,23,4,5,113,22,1,2,4,4,0,10,18,10,184,22,0,10,184,22,107,23,9,11,146,23,47,16,29,16,15,10,0,10,9,8,6,6,161,30,0,10,138,25,23,14,37,15,0,10,37,15,0,10,(X),(X),91.5,4.7,82.2,6.1,20.2,6.7,69,6.6,1.9,2.4,53.1,8.2,0.5,1,1.9,2,0,10,8.5,4.7,86.4,6.7,0,10,86.4,6.7,50.2,9.9,4.2,4.9,68.5,10.1,22.1,6.7,13.6,6.7,(X),(X),0,63.7,60,37.1,40,37.1,(X),(X),0,13,85.7,7.5,14.3,7.5,(X),(X),0,40.6,100,40.6,0,40.6
1400000US31011960100,"Census Tract 9601, Boone County, Nebraska",1484,72,1244,83,1015,85,69,23,1046,89,99,34,800,93,35,21,31,23,0,10,240,51,1178,80,6,5,1172,80,935,85,297,72,688,89,181,55,306,57,141,39,0,10,46,23,95,32,830,103,2,3,643,91,185,47,513,96,4,5,483,92,26,20,(X),(X),83.8,3.4,68.4,4.7,4.6,1.5,70.5,4.1,6.7,2.2,53.9,5.7,2.4,1.5,2.1,1.5,0,1.5,16.2,3.4,79.4,3.7,0.4,0.3,79,3.7,63,4.8,20,5,46.4,5.5,12.2,3.5,20.6,3.7,(X),(X),0,14.7,32.6,13.4,67.4,13.4,(X),(X),0.2,0.4,77.5,5.1,22.3,5.1,(X),(X),0.8,0.9,94.2,3.7,5.1,3.8
1400000US31011960200,"Census Tract 9602, Boone County, Nebraska",827,39,718,40,626,44,86,28,593,46,36,21,478,56,11,8,16,17,0,10,109,24,677,41,12,12,665,44,519,44,105,36,521,56,58,19,150,27,146,31,0,10,85,23,61,20,357,52,10,12,273,48,74,20,324,58,2,4,307,57,15,10,(X),(X),86.8,2.8,75.7,4,10.4,3.5,71.7,4,4.4,2.6,57.8,5.7,1.3,1,1.9,2,0,2.7,13.2,2.8,81.9,3.2,1.5,1.5,80.4,3.5,62.8,4.3,12.7,4.4,63,5.9,7,2.2,18.1,3.2,(X),(X),0,14.2,58.2,10.1,41.8,10.1,(X),(X),2.8,3.2,76.5,5.7,20.7,5.6,(X),(X),0.6,1.1,94.8,3.4,4.6,3.2
1400000US31013951100,"Census Tract 9511, Box Butte County, Nebraska",992,81,893,79,776,79,64,25,767,74,58,32,614,81,29,17,12,10,0,10,99,38,839,76,2,4,837,75,673,75,97,39,644,75,143,41,153,48,102,42,0,10,53,35,49,26,501,76,0,10,415,71,86,36,389,59,2,4,369,57,18,17,(X),(X),90,3.7,78.2,4.8,6.5,2.5,77.3,4.5,5.8,3.1,61.9,6.9,2.9,1.7,1.2,1,0,2.2,10,3.7,84.6,4.5,0.2,0.3,84.4,4.5,67.8,5.2,9.8,3.8,64.9,5.7,14.4,4,15.4,4.5,(X),(X),0,19.7,52,23.4,48,23.4,(X),(X),0,4.4,82.8,6.7,17.2,6.7,(X),(X),0.5,0.9,94.9,4.4,4.6,4.3
1400000US31013951200,"Census Tract 9512, Box Butte County, Nebraska",2045,150,1764,161,1560,186,110,54,1593,158,80,70,1305,169,0,10,65,51,0,10,281,93,1635,175,18,28,1617,175,1374,162,153,77,1319,175,83,70,410,117,357,126,0,10,180,91,177,91,922,196,18,28,685,174,219,100,766,171,0,10,752,167,14,21,(X),(X),86.3,4.5,76.3,6.7,5.4,2.6,77.9,5.2,3.9,3.4,63.8,6.2,0,1.1,3.2,2.4,0,1.1,13.7,4.5,80,5.7,0.9,1.4,79.1,5.8,67.2,5.8,7.5,3.8,64.5,7.4,4.1,3.4,20,5.7,(X),(X),0,6.1,50.4,19.2,49.6,19.2,(X),(X),2,3.1,74.3,10.1,23.8,9.7,(X),(X),0,2.9,98.2,2.7,1.8,2.7
1400000US31013951300,"Census Tract 9513, Box Butte County, Nebraska",1706,154,1514,152,1195,171,172,76,1236,147,174,92,778,129,56,49,40,30,0,10,192,79,1409,157,0,10,1409,157,1136,170,159,108,1149,176,132,70,297,100,284,118,0,10,155,97,129,69,913,177,0,10,752,182,161,76,509,109,0,10,502,110,7,11,(X),(X),88.7,4.4,70,8.2,10.1,4.3,72.5,5.3,10.2,5.3,45.6,6.5,3.3,2.9,2.3,1.8,0,1.3,11.3,4.4,82.6,5.5,0,1.3,82.6,5.5,66.6,7.6,9.3,6.3,67.4,8,7.7,4,17.4,5.5,(X),(X),0,7.6,54.6,20.5,45.4,20.5,(X),(X),0,2.4,82.4,8.5,17.6,8.5,(X),(X),0,4.3,98.6,2.2,1.4,2.2
1400000US31015975800,"Census Tract 9758, Boyd County, Nebraska",904,66,723,52,612,56,116,35,556,46,58,20,360,45,15,10,16,9,0,10,181,40,658,47,2,3,656,46,450,47,89,28,545,58,31,13,246,50,165,38,0,10,88,27,77,26,480,52,2,3,333,42,145,31,259,46,0,10,235,43,24,15,(X),(X),80,3.8,67.7,4.8,12.8,3.7,61.5,5.1,6.4,2.2,39.8,4.5,1.7,1.1,1.8,1,0,2.5,20,3.8,72.8,4.4,0.2,0.3,72.6,4.6,49.8,5.8,9.8,3.5,60.3,4.5,3.4,1.5,27.2,4.4,(X),(X),0,12.7,53.3,11.6,46.7,11.6,(X),(X),0.4,0.6,69.4,5.6,30.2,5.4,(X),(X),0,8.3,90.7,5.3,9.3,5.3
1400000US31017975000,"Census Tract 9750, Brown County, Nebraska",1387,134,1205,134,1061,127,165,45,916,146,88,53,660,101,11,11,40,42,0,10,182,48,1097,130,5,10,1092,129,804,132,164,67,821,95,111,48,290,67,291,80,0,10,142,56,149,55,727,94,5,10,604,89,118,45,369,72,0,10,346,69,23,24,(X),(X),86.9,3.4,76.5,4.8,11.9,3.4,66,6.4,6.3,3.7,47.6,5,0.8,0.8,2.9,3.1,0,1.6,13.1,3.4,79.1,4.6,0.4,0.7,78.7,4.6,58,5.8,11.8,4.2,59.2,5.1,8,3.4,20.9,4.6,(X),(X),0,7.4,48.8,13.3,51.2,13.3,(X),(X),0.7,1.3,83.1,5.9,16.2,5.9,(X),(X),0,5.9,93.8,6.2,6.2,6.2
1400000US31019968900,"Census Tract 9689, Buffalo County, Nebraska",1500,76,1276,83,1135,82,149,30,1080,82,83,35,779,80,22,14,28,24,0,10,224,53,1174,82,9,7,1165,82,899,82,195,55,655,62,387,58,326,55,210,45,3,4,129,34,78,28,726,86,6,7,505,69,215,51,564,71,0,10,531,74,33,18,(X),(X),85.1,3.4,75.7,3.9,9.9,2,72,3.9,5.5,2.3,51.9,4.3,1.5,0.9,1.9,1.6,0,1.5,14.9,3.4,78.3,3.5,0.6,0.5,77.7,3.5,59.9,4.1,13,3.5,43.7,3.8,25.8,3.7,21.7,3.5,(X),(X),1.4,2.1,61.4,10.7,37.1,10.6,(X),(X),0.8,0.9,69.6,5.7,29.6,5.8,(X),(X),0,3.9,94.1,3.3,5.9,3.3
1400000US31019969000,"Census Tract 9690, Buffalo County, Nebraska",1632,93,1515,89,1323,83,115,50,1339,94,83,32,1061,81,13,10,64,46,0,10,117,34,1411,89,5,5,1406,90,1121,92,196,53,927,77,280,52,221,59,126,49,0,10,64,31,62,37,740,83,4,5,611,76,125,38,766,68,1,3,731,68,34,21,(X),(X),92.8,2,81.1,3.5,7,3,82,3.7,5.1,1.9,65,4.3,0.8,0.6,3.9,2.9,0,1.4,7.2,2,86.5,3.4,0.3,0.3,86.2,3.4,68.7,4.9,12,3.1,56.8,3.9,17.2,3.2,13.5,3.4,(X),(X),0,16.3,50.8,19.7,49.2,19.7,(X),(X),0.5,0.6,82.6,4.7,16.9,4.7,(X),(X),0.1,0.4,95.4,2.8,4.4,2.7
1400000US31019969100,"Census Tract 9691, Buffalo County, Nebraska",1807,97,1565,94,1263,98,133,46,1358,101,150,52,1122,93,20,13,86,37,18,20,242,51,1434,99,8,8,1426,98,1079,103,239,72,1027,84,199,47,373,73,264,61,0,10,170,53,94,33,857,88,8,8,629,85,220,57,686,83,0,10,627,77,59,27,(X),(X),86.6,2.7,69.9,4.4,7.4,2.6,75.2,3.6,8.3,2.8,62.1,4.1,1.1,0.7,4.8,2.1,1,1.1,13.4,2.7,79.4,3.8,0.4,0.4,78.9,3.8,59.7,4.8,13.2,3.8,56.8,4.5,11,2.5,20.6,3.8,(X),(X),0,8.2,64.4,10.7,35.6,10.7,(X),(X),0.9,0.9,73.4,6.3,25.7,6.2,(X),(X),0,3.2,91.4,3.7,8.6,3.7
1400000US31019969202,"Census Tract 9692.02, Buffalo County, Nebraska",1597,95,1560,96,1384,124,87,54,1373,130,106,84,1020,120,0,10,76,60,0,10,37,33,1424,142,17,21,1407,142,1154,158,94,64,1229,144,121,52,173,91,258,93,0,10,153,89,105,81,584,128,0,10,558,127,26,27,755,107,17,21,696,102,42,34,(X),(X),97.7,2,86.7,5.3,5.4,3.3,86,5.5,6.6,5.2,63.9,7.2,0,1.4,4.8,3.8,0,1.4,2.3,2,89.2,5.8,1.1,1.3,88.1,6.1,72.3,8,5.9,4,77,7.3,7.6,3.1,10.8,5.8,(X),(X),0,8.3,59.3,27.1,40.7,27.1,(X),(X),0,3.8,95.5,4.5,4.5,4.5,(X),(X),2.3,2.7,92.2,5,5.6,4.4
1400000US31019969203,"Census Tract 9692.03, Buffalo County, Nebraska",2334,149,2217,155,2011,183,165,77,1887,176,119,91,1596,216,49,74,114,72,0,14,117,70,2040,182,0,14,2040,182,1523,181,198,111,1708,153,117,74,294,140,293,141,0,14,169,90,124,121,788,179,0,14,685,172,103,65,1253,143,0,14,1186,140,67,54,(X),(X),95,2.9,86.2,5.8,7.1,3.4,80.8,5.3,5.1,3.9,68.4,7.9,2.1,3.2,4.9,3,0,1,5,2.9,87.4,5.9,0,1,87.4,5.9,65.3,7.4,8.5,4.6,73.2,6.2,5,3.2,12.6,5.9,(X),(X),0,7.4,57.7,29.7,42.3,29.7,(X),(X),0,2.8,86.9,7.9,13.1,7.9,(X),(X),0,1.8,94.7,4.2,5.3,4.2
1400000US31019969204,"Census Tract 9692.04, Buffalo County, Nebraska",2360,157,2085,179,1894,173,131,86,1820,177,131,81,1572,154,19,31,44,62,0,14,275,117,1974,174,0,14,1974,174,1628,198,164,90,1750,182,142,70,386,127,333,139,0,14,156,92,177,119,816,188,0,14,720,176,96,75,1211,142,0,14,1098,137,113,91,(X),(X),88.3,4.9,80.3,5.2,5.6,3.6,77.1,5.4,5.6,3.4,66.6,6.1,0.8,1.3,1.9,2.7,0,0.9,11.7,4.9,83.6,5.2,0,0.9,83.6,5.2,69,6.5,6.9,3.7,74.2,6.7,6,2.9,16.4,5.2,(X),(X),0,6.5,46.8,24,53.2,24,(X),(X),0,2.7,88.2,8.7,11.8,8.7,(X),(X),0,1.8,90.7,7.3,9.3,7.3
1400000US31019969300,"Census Tract 9693, Buffalo County, Nebraska",962,81,854,87,705,101,22,14,783,91,70,32,576,83,18,18,70,41,0,10,108,37,761,93,0,10,761,93,613,103,73,37,649,95,60,33,201,61,142,46,0,10,84,36,58,30,631,97,0,10,508,101,123,49,189,45,0,10,169,46,20,17,(X),(X),88.8,4,73.3,6.6,2.3,1.5,81.4,5.4,7.3,3.5,59.9,6,1.9,1.9,7.3,4.2,0,2.3,11.2,4,79.1,6.3,0,2.3,79.1,6.3,63.7,8.5,7.6,3.8,67.5,7.3,6.2,3.4,20.9,6.3,(X),(X),0,14.6,59.2,16.1,40.8,16.1,(X),(X),0,3.5,80.5,7.7,19.5,7.7,(X),(X),0,11.2,89.4,9.2,10.6,9.2
1400000US31019969400,"Census Tract 9694, Buffalo County, Nebraska",1670,124,1448,115,1261,117,117,49,1290,111,111,63,970,128,16,20,95,62,0,10,222,65,1368,123,18,18,1350,121,1023,127,96,50,1190,109,90,43,302,73,296,80,0,10,175,70,121,52,911,134,9,14,740,125,162,62,463,90,9,13,435,91,19,21,(X),(X),86.7,3.6,75.5,5.7,7,3,77.2,3.9,6.6,3.7,58.1,6.5,1,1.2,5.7,3.6,0,1.3,13.3,3.6,81.9,4.1,1.1,1.1,80.8,4,61.3,6.6,5.7,2.9,71.3,4.6,5.4,2.5,18.1,4.1,(X),(X),0,7.3,59.1,15.3,40.9,15.3,(X),(X),1,1.5,81.2,6.4,17.8,6.4,(X),(X),1.9,2.7,94,5,4.1,4.4
