prvdr_ctgry_cd,city_name,fac_name,state_cd,st_adr,phne_num,zip_cd,bed_cnt,geo_address,loc,longitude,latitude
1,AUBURN,NEMAHA COUNTY HOSPITAL,NE,2022 - 13TH STREET,4022744366.0,68305,32.0,"2022 - 13TH STREET, AUBURN, NE, 68305","Nemaha County Hospital, 2022, 13th Street, Auburn, Nemaha County, Nebraska, 68305, United States",-95.85355353472707,40.391991149999996
1,HENDERSON,HENDERSON HEALTH CARE SERVICES INC,NE,1621 FRONT ST PO BOX 217,4027234512.0,68371,17.0,"1621 FRONT ST, HENDERSON, NE, 68371","Henderson Community Hospital, 1621, Front Street, Henderson, York County, Nebraska, 68371, United States",-97.80777143074553,40.78353025
1,OMAHA,CHI HLTH CREIGHTON UNIVERSITY MED CTR-BERGAN MERCY,NE,601 NORTH 30TH ST,4024494000.0,68131,334.0,"601 NORTH 30TH ST, OMAHA, NE, 68131","601, North 30th Street, Omaha, Douglas County, Nebraska, 68131, United States",-95.95670577626879,41.264929150822326
1,ALBION,BOONE COUNTY HEALTH CENTER,NE,"PO BOX 151, 723 WEST FAIRVIEW STREET",4023952191.0,68620,34.0,"723 WEST FAIRVIEW STREET, ALBION, NE, 68620","Boone County Health Center, 723, West Fairview Street, Albion, Boone County, Nebraska, 68620, United States",-98.00553744000793,41.68302625
1,HASTINGS,MARY LANNING HEALTHCARE,NE,715 N ST JOSEPH AVE,4024615108.0,68901,163.0,"715 N ST JOSEPH AVE, HASTINGS, NE, 68901","Mary Lanning Healthcare, 715, North Saint Joseph Avenue, Countryside Parks, Hastings, Adams County, Nebraska, 68901, United States",-98.3873596790537,40.591527299999996
1,KIMBALL,KIMBALL COUNTY HOSPITAL,NE,505 SOUTH BURG STREET,3082353621.0,69145,20.0,"505 SOUTH BURG STREET, KIMBALL, NE, 69145","Kimball Health Services, 505, South Burg Street, Stahlas North Court, Kimball, Kimball County, Nebraska, 69145, United States",-103.66682429893335,41.232667
1,NORFOLK,LUTHERAN COMMUNITY HOSPITAL,NE,2700 NORFOLK AVE,4026447528.0,68701,78.0,"2700 NORFOLK AVE, NORFOLK, NE, 68701","Norfolk Avenue, New Norfolk, Derwent Valley, Tasmania, Australia",147.0555917,-42.7728054
1,OSCEOLA,ANNIE JEFFREY MEM COUNTY HEALTH CENTER,NE,PO BOX 428  531 BEEBE STREET,4027472031.0,68651,21.0,"531 BEEBE STREET, OSCEOLA, NE, 68651","Annie Jeffrey Memorial County Health Center, 531, Beebe Street, Osceola, Polk County, Nebraska, 68651, United States",-97.54959773463327,41.1696426
21,OMAHA,ONE WORLD COMMUNITY HEALTH CENTERS INC,NE,4930 S 30TH STREET STE 100,4025028842.0,68107,,"4930 S 30TH STREET, OMAHA, NE, 68107","4930, South 30th Street, South Omaha, Omaha, Douglas County, Nebraska, 68107, United States",-95.95697976763117,41.21127927657956
1,WAHOO,SAUNDERS COUNTY COMMUNITY HOSPITAL,NE,805 WEST 10TH STREET,4024434191.0,68066,30.0,"805 WEST 10TH STREET, WAHOO, NE, 68066","805, West 10th Street, Wahoo, Saunders County, Nebraska, 68066, United States",-96.62788928574776,41.21520963740813
1,WEST POINT,ST FRANCIS MEMORIAL HOSPITAL,NE,430 NORTH MONITOR,4023722404.0,68788,49.0,"430 NORTH MONITOR, WEST POINT, NE, 68788","430, North Monitor Street, West Point, Cuming County, Nebraska, 68788, United States",-96.70664681632653,41.84327079591837
1,YORK,YORK GENERAL HOSPITAL,NE,2222 LINCOLN AVE,4023626671.0,68467,48.0,"2222 LINCOLN AVE, YORK, NE, 68467","2222, Lincoln Avenue, Roosevelt Beach, Wilson, Niagara County, New York, 14172, United States",-78.86106253319136,43.30977358040803
1,OMAHA,METHODIST HOSPITAL,NE,8303 DODGE ST,4023544000.0,68114,430.0,"8303 DODGE ST, OMAHA, NE, 68114","Nebraska Methodist Hospital, 8303, Dodge Street, Omaha, Douglas County, Nebraska, 68114, United States",-96.0419008802565,41.2569447
1,PLAINVIEW,PLAINVIEW PUBLIC HOSPITAL,NE,PO BOX 489  704 NORTH 3RD,4025824245.0,68769,20.0,"704 NORTH 3RD, PLAINVIEW, NE, 68769","704, 3rd Street, East End Tailer Court, Plainview, Pierce County, Nebraska, 68769, United States",-97.78522243811042,42.35818478119405
1,CENTRAL CITY,LITZENBERG MEMORIAL COUNTY HOSPITAL,NE,1715 26TH STREET,3089463015.0,68826,33.0,"1715 26TH STREET, CENTRAL CITY, NE, 68826","Merrick Medical Center, 1715, 26th Street, Central City, Merrick County, Nebraska, 68826, United States",-98.00290685,41.1070724
1,OAKLAND,OAKLAND MEMORIAL HOSPITAL,NE,601 E 2ND ST,4026855601.0,68045,23.0,"601 E 2ND ST, OAKLAND, NE, 68045","Oakland Memorial Hospital, 601, East 2nd Street, Oakland, Burt County, Nebraska, 68045, United States",-96.45910955,41.834994800000004
1,CREIGHTON,CREIGHTON AREA HEALTH SERVICES,NE,PO BOX 186  1503 MAIN STREET,4023583322.0,68729,30.0,"1503 MAIN STREET, CREIGHTON, NE, 68729","Avera Creighton Hospital, 1503, Main Street, Creighton, Knox County, Nebraska, 68729, United States",-97.91778190191235,42.46599125
1,BLAIR,MEMORIAL COMMUNITY HOSPITAL,NE,810 N 22ND ST,4024262182.0,68008,29.0,"810 N 22ND ST, BLAIR, NE, 68008","810, North 22nd Street, Blair, Washington County, Nebraska, 68008, United States",-96.14543809749152,41.551872920703936
21,OMAHA,ONE WORLD COMMUNITY HEALTH CENTERS INC,NE,4101 S 120TH ST,4025028842.0,68137,,"4101 S 120TH ST, OMAHA, NE, 68137","4101, South 120th Street, Millard, Omaha, Douglas County, Nebraska, 68137, United States",-96.100628,41.220127
1,CHADRON,CHADRON COMMUNITY HOSPITAL,NE,821 MOREHEAD STREET,3084325586.0,69337,42.0,"821 MOREHEAD STREET, CHADRON, NE, 69337","821, Morehead Street, Westview Mobile Park, Chadron, Dawes County, Nebraska, 69337, United States",-103.00460508163266,42.822871408163266
1,LINCOLN,VA HOSP,NE,600 S 70TH ST,,68501,183.0,"600 S 70TH ST, LINCOLN, NE, 68501","Lincoln VA Clinic, 600, South 70th Street, Lincoln, Lancaster County, Nebraska, 68510, United States",-96.6213952541476,40.80776835
1,HEBRON,THAYER COUNTY MEMORIAL HOSPITAL,NE,121 PARK AVE  PO BOX 49,4027686041.0,68370,22.0,"121 PARK AVE, HEBRON, NE, 68370","121, Park Avenue, Hebron, Thayer County, Nebraska, 68370, United States",-97.59447168941132,40.16003442334894
1,SYRACUSE,COMMUNITY MEMORIAL HOSPITAL,NE,"1579 MIDLAND ST, PO BOX N",4022692011.0,68446,18.0,"1579 MIDLAND ST, SYRACUSE, NE, 68446","Community Memorial Hospital, 1579, Midland Street, Syracuse, Otoe County, Nebraska, 68446, United States",-96.18679550810741,40.6671702
1,TECUMSEH,JOHNSON COUNTY HOSPITAL,NE,202 HIGH STREET,4023353361.0,68450,30.0,"202 HIGH STREET, TECUMSEH, NE, 68450","Johnson County Hospital, 202, High Street, Tecumseh, Johnson County, Nebraska, 68450, United States",-96.19703655033227,40.3797467
1,BEATRICE,BEATRICE COMM HOSPITAL & HLTH CENTER,NE,"1110 NORTH 10TH STREET, PO BOX 278",4022283344.0,68310,47.0,"1110 NORTH 10TH STREET,  BEATRICE, NE, 68310","1110, North 10th Street, Beatrice, Gage County, Nebraska, 68310, United States",-96.741011,40.277811
1,FRANKLIN,FRANKLIN COUNTY MEMORIAL HOSPITAL,NE,1406 Q STREET,3084256221.0,68939,20.0,"1406 Q STREET, FRANKLIN, NE, 68939","Franklin County Memorial Hospital, 1406, Q Street, Franklin, Franklin County, Nebraska, 68939, United States",-98.9542417,40.10217395
1,BROKEN BOW,JENNIE M MELHAM MEMORIAL MED CENTER,NE,145 MEMORIAL DR,3088726891.0,68822,39.0,"145 MEMORIAL DR, BROKEN BOW, NE, 68822","Jennie M. Melham Memorial Medical Center, 145, Memorial Drive, Broken Bow, Custer County, Nebraska, 68822, United States",-99.63210263055447,41.4104379
1,SEWARD,MEMORIAL HOSPITAL,NE,300 N COLUMBIA AVE,4026432971.0,68434,34.0,"300 N COLUMBIA AVE, SEWARD, NE, 68434","Memorial Health Care Systems, 300, North Columbia Avenue, Seward, Seward County, Nebraska, 68434, United States",-97.0910169174511,40.90990165
1,OMAHA,CHI HEALTH CREIGHTON UNIVERSITY MEDICAL CENTER - B,NE,7500 MERCY RD,4023986060.0,68124,400.0,"7500 MERCY RD, OMAHA, NE, 68124","CHI Health Creighton University Medical Center - Bergan Mercy, 7500, Mercy Road, Omaha, Douglas County, Nebraska, 68124, United States",-96.03112319371702,41.2395005
1,SCOTTSBLUFF,REGIONAL WEST MEDICAL CENTER,NE,4021 AVE B,3086353711.0,69361,166.0,"4021 AVE B, SCOTTSBLUFF, NE, 69361","Regional West Medical Center, 4021, Avenue B, Scottsbluff, Scotts Bluff County, Nebraska, 69361, United States",-103.66342773593979,41.886664249999995
1,RUSHVILLE,RUSHVILLE COMM HOSP,NE,307 CONRAD ST,3083272468.0,69360,9.0,"307 CONRAD ST, RUSHVILLE, NE, 69360","307, Conrad Street, Rushville, Sheridan County, Nebraska, 69360, United States",-102.46720111517254,42.716468312609386
1,SUPERIOR,BRODSTONE MEM-NUCKOLLS CO HOSPITAL,NE,PO BOX 187  520 EAST 10TH STREET,4028793281.0,68978,49.0,"520 EAST 10TH STREET, SUPERIOR, NE, 68978","520, East 10th Street, Superior, Nuckolls County, Nebraska, 68978, United States",-98.06582228571428,40.02625520408163
1,NORTH PLATTE,GREAT PLAINS HEALTH,NE,601 WEST LEOTA ST,3085688000.0,69101,116.0,"601 WEST LEOTA ST, NORTH PLATTE, NE, 69101","Great Plains Health, 601, West Leota Street, North Platte, Lincoln County, Nebraska, 69101, United States",-100.77016900000001,41.121655950000005
21,OMAHA,ONE WORLD COMMUNITY HEALTH CENTERS INC,NE,4910 S 30TH STREET,4025028842.0,68107,,"4910 S 30TH STREET, OMAHA, NE, 68107","4910, South 30th Street, South Omaha, Omaha, Douglas County, Nebraska, 68107, United States",-95.95777706657103,41.211703952013835
1,COZAD,COZAD COMMUNITY HOSPITAL,NE,300 EAST 12TH STREET,3087842261.0,69130,21.0,"300 EAST 12TH STREET, COZAD, NE, 69130","Cozad Community Hospital, 300, East 12th Street, Cozad, Dawson County, Nebraska, 69130, United States",-99.98246234212822,40.86362885
1,WAKEFIELD,WAKEFIELD HEALTH CARE CENTER,NE,306 ASH ST,4022872244.0,68784,22.0,"306 ASH ST, WAKEFIELD, NE, 68784","Wakefield Health Care Center, 306, Ash Street, Saint Johns Trailer Court, Wakefield, Dixon County, Nebraska, 68784, United States",-96.8729315,42.2689603
1,PAWNEE CITY,PAWNEE COUNTY MEMORIAL HOSPITAL,NE,600 I ST  PO BOX 313,4028522231.0,68420,21.0,"600 I ST, PAWNEE CITY, NE, 68420","Pawnee County Memorial Hospital, 600, I Street, Pawnee City, Pawnee County, Nebraska, 68420, United States",-96.14990409013197,40.10832745
1,AURORA,MEMORIAL HOSPITAL,NE,1423 SEVENTH STREET,4026943171.0,68818,25.0,"1423 SEVENTH STREET, AURORA, NE, 68818","Aurora Seventh-day Adventist Church, 1504, 12th Street, Aurora, Hamilton County, Nebraska, 68818, United States",-98.0031102,40.871679
1,GORDON,GORDON MEMORIAL HOSPITAL,NE,300 EAST 8TH STREET,3082820401.0,69343,40.0,"300 EAST 8TH STREET, GORDON, NE, 69343","Gordon Memorial Hospital, 300, East 8th Street, Gordon, Sheridan County, Nebraska, 69343, United States",-102.1997284,42.812335649999994
1,FREMONT,METHODIST FREMONT HEALTH,NE,450 EAST 23RD ST,4027271610.0,68025,90.0,"450 EAST 23RD ST, FREMONT, NE, 68025","Fremont Area Medical Center, 450, East 23rd Street, Fremont, Dodge County, Nebraska, 68025, United States",-96.49137378402403,41.4534446
1,FULLERTON,FULLERTON MEMORIAL HOSPITAL,NE,903 BROADWAY,3085362474.0,68638,20.0,"903 BROADWAY, FULLERTON, NE, 68638","903, Broadway Street, Fullerton, Nance County, Nebraska, 68638, United States",-97.96851128571429,41.35587834693877
1,GENEVA,FILLMORE COUNTY HOSPITAL,NE,1325 'H' ST  PO BOX 193,4027593167.0,68361,33.0,"1325 'H' ST , GENEVA, NE, 68361","1325, H Street, Geneva, Fillmore County, Nebraska, 68361, United States",-97.59467593877551,40.52695255102041
21,OMAHA,BRYAN HIGH SCHOOL BASED CLINIC,NE,4700 GILES ROAD,4029913904.0,68157,,"4700 GILES ROAD, OMAHA, NE, 68157","Giles Road, Chalco, Omaha, Sarpy County, Nebraska, 68137, United States",-96.1099174,41.1877431
1,OMAHA,CHI HEALTH IMMANUEL,NE,6901 NORTH 72ND ST,4025722121.0,68122,356.0,"6901 NORTH 72ND ST, OMAHA, NE, 68122","CHI Health Immanuel, 6901, North 72nd Street, Omaha, Douglas County, Nebraska, 68122, United States",-96.0199099786092,41.322210049999995
1,SCHUYLER,ALEGENT HEALTH - MEMORIAL HOSPITAL,NE,104 W 17TH ST,4023522441.0,68661,18.0,"104 W 17TH ST, SCHUYLER, NE, 68661","CHI Health Schuyler, 104, West 17th Street, Lonnies Trailer Court, Schuyler, Colfax County, Nebraska, 68661, United States",-97.06095182469441,41.45541335
1,ST PAUL,HOWARD COUNTY COMMUNITY HOSPITAL,NE,1102 KENDALL ST,3087544421.0,68873,37.0,"1102 KENDALL ST, ST PAUL, NE, 68873","1102, Kendall Street, Saint Paul, Howard County, Nebraska, 68873, United States",-98.4627337755102,41.216347081632655
1,OMAHA,METHODIST RICHARD YOUNG,NE,515 S 26TH ST,4025366600.0,68105,305.0,"515 S 26TH ST, OMAHA, NE, 68105","515, South 26th Street, Omaha, Douglas County, Nebraska, 68105, United States",-95.94983920922928,41.25469923653211
1,GRAND ISLAND,GRAND ISLAND MEMORIAL HOSPITAL,NE,2116 W FAIDLEY AVE,3083823890.0,68801,124.0,"2116 W FAIDLEY AVE, GRAND ISLAND, NE, 68801","Family Practice of Grand Island, 2116, West Faidley Avenue, Grand Island, Hall County, Nebraska, 68803, United States",-98.3637181,40.9245505
1,CRAWFORD,LEGEND BUTTES HEALTH SERVICES,NE,11 PADDOCK ST  PO BOX 272,3086651770.0,69339,20.0,"11 PADDOCK ST, CRAWFORD, NE, 69339","11, Paddock Street, Crawford, Dawes County, Nebraska, 69339, United States",-103.41529563265306,42.681907510204084
1,DAVID CITY,BUTLER COUNTY HEALTH CARE CENTER,NE,372 SOUTH 9TH STREET,4023673115.0,68632,29.0,"372 SOUTH 9TH STREET, DAVID CITY, NE, 68632","Butler County Health Care Center, 372, South 9th Street, David City, Butler County, Nebraska, 68632, United States",-97.12241654456399,41.2469981
21,OMAHA,ONE WORLD NORTHWEST,NE,4229 NORTH 90TH STREET,4024016000.0,68134,,"4229 NORTH 90TH STREET, OMAHA, NE, 68134","4229, North 90th Street, Omaha, Douglas County, Nebraska, 68134, United States",-96.0527131992698,41.29731445300558
1,OXFORD,FRITZER MEMORIAL HOSPITAL,NE,811 HOWELL,3088243271.0,68967,20.0,"811 HOWELL, OXFORD, NE, 68967","811, Howell Street, Oxford, Furnas County, Nebraska, 68967, United States",-99.63832,40.255154081632654
1,BASSETT,ROCK COUNTY HOSPITAL,NE,PO BOX 100  102 E SOUTH ST,4026843366.0,68714,17.0,"102 E SOUTH ST, BASSETT, NE, 68714","102, South Street, Bassett, Rock County, Nebraska, 68714, United States",-99.53820959246042,42.57574032483894
1,GENOA,GENOA COMMUNITY HOSPITAL,NE,706 EWING AVENUE,4029932283.0,68640,20.0,"706 EWING AVENUE, GENOA, NE, 68640","Genoa Community Hospital, 706, Ewing Avenue, Genoa, Nance County, Nebraska, 68640, United States",-97.73266565799058,41.44438515
1,ORD,VALLEY COUNTY HOSPITAL,NE,217 WESTRIDGE DRIVE,3087283211.0,68862,26.0,"217 WESTRIDGE DRIVE, ORD, NE, 68862","217, Westridge Drive, Ord, Valley County, Nebraska, 68862, United States",-98.93962546938775,41.60155697959184
1,PAPILLION,CHI HEALTH MIDLANDS,NE,11111 SOUTH 84TH ST,4025933000.0,68046,131.0,"11111 SOUTH 84TH ST, PAPILLION, NE, 68046","CHI Health Midlands, 11111, South Washington Street, Papillion, Sarpy County, Nebraska, 68046, United States",-96.0401953408132,41.1359335
1,GOTHENBURG,GOTHENBURG MEMORIAL HOSPITAL,NE,910 20TH STREET  PO BOX 469,3085373661.0,69138,12.0,"910 20TH STREET, GOTHENBURG, NE, 69138","910, 20th Street, Gothenburg, Dawson County, Nebraska, 69138, United States",-100.15380414285714,40.93803418367347
1,HUMBOLDT,COMMUNITY MEMORIAL HOSPITAL,NE,1128 GRAND AVENUE  RT 2  BOX 34C,4028622231.0,68376,20.0,"1128 GRAND AVENUE, HUMBOLDT, NE, 68376","Humboldt Family Practice, 1128, Grand Avenue, Humboldt, Richardson County, Nebraska, 68376, United States",-95.9395273,40.1728648
1,HOLDREGE,PHELPS MEMORIAL HEALTH CENTER,NE,1215 TIBBALS ST,3089952211.0,68949,49.0,"1215 TIBBALS ST, HOLDREGE, NE, 68949","Phelps Memorial Health Center, 1215, Tibbals Street, Holdrege, Phelps County, Nebraska, 68949, United States",-99.38314556629177,40.44785135
1,SARGENT,GOLI MEDICAL CENTER,NE,1201 WEST MAIN  RR1  BOX 11,3085273414.0,68874,18.0,"1201 WEST MAIN, SARGENT, NE, 68874","West Main, Sargent, Custer County, Nebraska, 68874, United States",-99.3951986,41.6404131
1,AINSWORTH,BROWN COUNTY HOSPITAL,NE,945 E ZERO ST,4023872800.0,69210,25.0,"945 E ZERO ST, AINSWORTH, NE, 69210","Brown County Hospital, 945, East Zero Street, Ainsworth, Brown County, Nebraska, 69210, United States",-99.84943483637548,42.544488400000006
1,COLUMBUS,COLUMBUS COMMUNITY HOSPITAL,NE,4600 38TH ST,4025623362.0,68601,47.0,"4600 38TH ST, COLUMBUS, NE, 68601","Hospital Parking, 38th Street, Columbus, Platte County, Nebraska, 68601, United States",-97.3853859,41.4541197
1,CALLAWAY,CALLAWAY DISTRICT HOSPITAL,NE,211 KIMBALL  PO BOX 100,3088362228.0,68825,12.0,"211 KIMBALL, CALLAWAY, NE, 68825","Callaway District Hospital, 211, East Kimball Street, Callaway, Custer County, Nebraska, 68825, United States",-99.9232840497972,41.291344800000005
1,WAYNE,PROVIDENCE MEDICAL CENTER,NE,1200 PROVIDENCE ROAD,4023753800.0,68787,32.0,"1200 PROVIDENCE ROAD, WAYNE, NE, 68787","1200, Providence Road, Wayne, Wayne County, Nebraska, 68787, United States",-97.008149,42.241775
1,LEXINGTON,TRI-COUNTY AREA HOSPITAL DISTRICT,NE,"P O BOX 980, 1201 NORTH ERIE STREET",3083245651.0,68850,40.0,"1201 NORTH ERIE STREET, LEXINGTON, NE, 68850","Lexington Regional Health Center, 1201, North Erie Street, Lexington, Dawson County, Nebraska, 68850, United States",-99.7595347625994,40.78532165
21,GRAND ISLAND,HEARTLAND HEALTH CENTER,NE,3307 WEST CAPITAL AVENUE,3083824297.0,68803,,"3307 WEST CAPITAL AVENUE, GRAND ISLAND, NE, 68803","3307, West Capital Avenue, Grand Island, Hall County, Nebraska, 68803, United States",-98.3790200612245,40.94590322448979
1,ALLIANCE,BOX BUTTE GENERAL HOSPITAL,NE,2101 BOX BUTTE AVE,3087626660.0,69301,44.0,"2101 BOX BUTTE AVE, ALLIANCE, NE, 69301","Box Butte General Hospital, 2101, Box Butte Avenue, Alliance, Box Butte County, Nebraska, 69301, United States",-102.8699052424711,42.11670125
1,WINNEBAGO,WINNEBAGO IHS HOSPITAL,NE,HWY 77-75,4028782231.0,68071,30.0,"HWY 77-75, WINNEBAGO, NE, 68071","Highway 77, Winnebago, Thurston County, Nebraska, 68071, United States",-96.4723711,42.239593
1,OMAHA,METHODIST HOSPITAL,NE,3612 CUMING ST,4025544644.0,68131,142.0,"3612 CUMING ST, OMAHA, NE, 68131","3612, Cuming Street, Omaha, Douglas County, Nebraska, 68131, United States",-95.9668828560379,41.268094455851646
1,NORFOLK,FAITH REGIONAL HEALTH SERVICES,NE,2700 WEST NORFOLK AVE,4023714880.0,68701,133.0,"2700 WEST NORFOLK AVE, NORFOLK, NE, 68701","Faith Regional Health Services - West Campus, 2700, West Norfolk Avenue, Norfolk, Madison County, Nebraska, 68701, United States",-97.45340715393505,42.03465185
1,PAPILLION,SELECT SPECIALTY HOSPITAL - OMAHA,NE,11111 S 84TH STREET,4028982700.0,68046,40.0,"11111 S 84TH STREET, PAPILLION, NE, 68046","CHI Health Midlands, 11111, South Washington Street, Papillion, Sarpy County, Nebraska, 68046, United States",-96.0401953408132,41.1359335
1,LINCOLN,LINCOLN SURGICAL HOSPITAL,NE,"1710 SOUTH 70TH STREET, SUITE 200",4024849090.0,68506,21.0,"1710 SOUTH 70TH STREET, LINCOLN, NE, 68506","Lincoln Surgery Hospital, 1710, South 70th Street, Lincoln, Lancaster County, Nebraska, 68506, United States",-96.6237071,40.7947479
1,LINCOLN,CHI HEALTH NEBRASKA HEART,NE,7500 SOUTH 91ST ST,4023272700.0,68526,63.0,"7500 SOUTH 91ST ST, LINCOLN, NE, 68526","CHI Health Nebraska Heart, 7500, South 91st Street, Pine Lake, Lincoln, Lancaster County, Nebraska, 68526, United States",-96.59330994983512,40.7361876
1,OMAHA,ORTHONEBRASKA HOSPITAL,NE,2808 SOUTH 143RD PLZ,4026093000.0,68144,24.0,"2808 SOUTH 143RD PLZ, OMAHA, NE, 68144","Nebraska Orthopaedic Hospital, 2808, South 143rd Plaza, Millard, Omaha, Douglas County, Nebraska, 68144, United States",-96.13566694204545,41.2328724
21,FREMONT,GOOD NEIGHBOR CLINIC FREMONT,NE,2740 N CLARKSON ST,4025628952.0,68025,,"2740 N CLARKSON ST, FREMONT, NE, 68025","GIKK Orthopedic Specialists, 2740, North Clarkson Street, Fremont, Dodge County, Nebraska, 68025, United States",-96.4895241,41.4558652
1,OMAHA,CHI HEALTH LAKESIDE,NE,16901 LAKESIDE HILLS CT,4027178167.0,68130,157.0,"16901 LAKESIDE HILLS CT, OMAHA, NE, 68130","CHI Health Lakeside, 16901, Lakeside Hills Court, Millard, Omaha, Douglas County, Nebraska, 68130, United States",-96.18046733527683,41.2374612
